"filename","smiles","carbonyl_low_specificty","carbonyl_carbon","carbonyl_nitrogen","carbonyl_oxygen","acyl_halide","aldehyde","anhydride","amide","amidinium","carbamate","carbamic_ester","carbamic_acid","carbonic_ester","carboxylic_acid","ketone"
"BB[BH]1[BH2][BH]1[BH3]_hexaborane-10","BB[BH]1[BH2][BH]1[BH3]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BBr_monobromoborane","BBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BC_methylborane","BC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BCl_chloroborane","BCl","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BI_monoiodoborane","BI","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"B[BH](B)[BH3].[BH]_pentaborane-9","B[BH](B)[BH3].[BH]","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"B_borane","B","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrB(Br)Br_boron-tribromide","BrB(Br)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrBBr_dibromoborane","BrBBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrC(Br)Br_tribromomethane","BrC(Br)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrC(Br)C(Br)Br_1122-tetrabromoethane","BrC(Br)C(Br)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrCBr_dibromomethane","BrCBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrCCBr_12-dibromoethane","BrCCBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"BrCI_iodobromomethane","BrCI","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Al](Br)Br_aluminium-tribromide","Br[Al](Br)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[AsH]Br_dibromoarsine","Br[AsH]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Be]Br_beryllium-bromide","Br[Be]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Be]I_beryllium-iodide-bromide","Br[Be]I","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Ca]I_calcium-iodide-bromide","Br[Ca]I","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Cr]Br_chromium-dibromide","Br[Cr]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Fe]Br_iron-dibromide","Br[Fe]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Mg]Br_magnesium-bromide","Br[Mg]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Mg]I_magnesium-iodide-bromide","Br[Mg]I","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Ni]Br_nickel-dibromide","Br[Ni]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[Ti]Br_titanium-dibromide","Br[Ti]Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Br[V](Br)Br_vanadium-tribromide","Br[V](Br)Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1c2ccccc2cc2ccccc12_9-bromoanthracene","Brc1c2ccccc2cc2ccccc12","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1cccc(Br)c1_13-dibromobenzene","Brc1cccc(Br)c1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1cccc2ccccc12_1-bromonaphthalene","Brc1cccc2ccccc12","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1ccccc1Br_12-dibromobenzene","Brc1ccccc1Br","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1ccccc1_bromobenzene","Brc1ccccc1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1ccccn1_2-bromopyridine","Brc1ccccn1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Brc1cccnc1_3-bromopyridine","Brc1cccnc1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CBr_bromoacetylene","C#CBr","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC#CC#C_135-hexatriyne","C#CC#CC#C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC#CC_13-pentadiyne","C#CC#CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC#C_13-butadiyne","C#CC#C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC#N_cyanoacetylene","C#CC#N","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(=C)C_2-methyl-1-buten-3-yne","C#CC(=C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(=O)OCC_ethyl-propiolate","C#CC(=O)OCC","True","True","False","True","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)(C)CC_33-dimethylpent-1-yne","C#CC(C)(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)(C)C_33-dimethyl-1-butyne","C#CC(C)(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)(CC)CC_3-ethyl-3-methylpent-1-yne","C#CC(C)(CC)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)=O_but-3-yn-2-one","C#CC(C)=O","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True"
"C#CC(C)C(C)C_34-dimethylpent-1-yne","C#CC(C)C(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)CCC_3-methylhex-1-yne","C#CC(C)CCC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)CC_3-methyl-1-pentyne","C#CC(C)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(C)C_3-methyl-1-butyne","C#CC(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(CC)CC_3-ethylpent-1-yne","C#CC(CC)CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC(F)(F)F_333-trifluoro-1-propyne","C#CC(F)(F)F","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC=CC_cis-3-penten-1-yne","C#CC=CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC=CC_trans-3-penten-1-yne","C#CC=CC","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC=C_1-buten-3-yne","C#CC=C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C#CC=O_prop-2-ynal","C#CC=O","True","True","False","False","False","True","False","False","False","False","False","False","False","False","False"
"C#CCC(C)(C)C_44-dimethylpent-1-yne","C#CCC(C)(C)C","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
